lotarea,lotcount,constructedcount
0,628,2
1000,1771,7
2000,2098,19
3000,1352,36
4000,762,59
5000,435,60
6000,302,57
7000,190,53
8000,132,42
9000,92,32
10000,60,20
11000,37,7
12000,38,13
13000,38,10
14000,32,5
15000,19,8
16000,8,4
17000,12,5
18000,14,1
19000,11,3
20000,7,2
21000,7,3
22000,5,3
23000,2,0
24000,4,2
25000,7,2
26000,4,0
27000,2,0
28000,7,4
29000,4,2
