,id,status
146,DCP-ZDR-2020-00867,Applicant Revisions
147,DCP-ZDR-2020-00878,Completed
148,DCP-ZDR-2020-00880,Completed
149,DCP-ZDR-2020-00887,Completed
150,DCP-ZDR-2020-00891,Completed
151,DCP-ZDR-2020-00894,Completed
152,DCP-ZDR-2020-00905,Completed
153,DCP-ZDR-2020-00908,Completed
154,DCP-ZDR-2020-00910,Withdrawn
155,DCP-ZDR-2020-00927,Completed
156,DCP-ZDR-2020-00929,Completed
157,DCP-ZDR-2020-00937,Completed
158,DCP-ZDR-2020-00953,Applicant Revisions
159,DCP-ZDR-2020-00958,Completed
160,DCP-ZDR-2020-00962,Completed
161,DCP-ZDR-2020-00964,Completed
162,DCP-ZDR-2020-00966,Cancelled
163,DCP-ZDR-2020-00968,Completed
164,DCP-ZDR-2020-00970,Completed
165,DCP-ZDR-2020-00975,Completed
166,DCP-ZDR-2020-00977,Cancelled
167,DCP-ZDR-2020-00979,Completed
168,DCP-ZDR-2020-00982,Completed
169,DCP-ZDR-2020-00984,Completed
170,DCP-ZDR-2020-01017,Cancelled
171,DCP-ZDR-2020-01026,Completed
172,DCP-ZDR-2020-01028,Completed
173,DCP-ZDR-2020-01030,Completed
174,DCP-ZDR-2020-01036,Applicant Revisions
175,DCP-ZDR-2020-01044,Completed
176,DCP-ZDR-2020-01049,Completed
177,DCP-ZDR-2020-01056,Application Incomplete
178,DCP-ZDR-2020-01059,Completed
179,DCP-ZDR-2020-01061,Completed
180,DCP-ZDR-2020-01063,Completed
181,DCP-ZDR-2020-01078,Cancelled
182,DCP-ZDR-2020-01092,Withdrawn
183,DCP-ZDR-2020-01097,Completed
184,DCP-ZDR-2020-01104,Completed
185,DCP-ZDR-2020-01106,Completed
186,DCP-ZDR-2020-01114,Completed
187,DCP-ZDR-2020-01120,Cancelled
188,DCP-ZDR-2020-01133,Completed
189,DCP-ZDR-2020-01138,Completed
190,DCP-ZDR-2020-01146,Completed
191,DCP-ZDR-2020-01149,Completed
192,DCP-ZDR-2020-01157,Completed
193,DCP-ZDR-2020-01161,Completed
194,DCP-ZDR-2020-01165,Completed
195,DCP-ZDR-2020-01169,Completed
196,DCP-ZDR-2020-01174,Completed
197,DCP-ZDR-2020-01185,Completed
198,DCP-ZDR-2020-01197,Completed
199,DCP-ZDR-2020-01203,Completed
200,DCP-ZDR-2020-01211,Application Finalization
201,DCP-ZDR-2020-01216,Completed
202,DCP-ZDR-2020-01228,Completed
203,DCP-ZDR-2020-01234,Completed
204,DCP-ZDR-2020-01245,Completed
205,DCP-ZDR-2020-01254,Completed
206,DCP-ZDR-2020-01266,Applicant Revisions
207,DCP-ZDR-2020-01274,Completed
208,DCP-ZDR-2020-01287,Applicant Revisions
209,DCP-ZDR-2020-01293,Completed
210,DCP-ZDR-2020-01295,Cancelled
211,DCP-ZDR-2020-01308,Completed
212,DCP-ZDR-2020-01312,Completed
213,DCP-ZDR-2020-01315,Completed
214,DCP-ZDR-2020-01321,Completed
215,DCP-ZDR-2020-01324,Cancelled
216,DCP-ZDR-2020-01333,Completed
217,DCP-ZDR-2020-01335,Cancelled
218,DCP-ZDR-2020-01337,Completed
219,DCP-ZDR-2020-01341,Cancelled
220,DCP-ZDR-2020-01343,Cancelled
221,DCP-ZDR-2020-01358,Completed
222,DCP-ZDR-2020-01361,Completed
223,DCP-ZDR-2020-01364,Completed
224,DCP-ZDR-2020-01369,Completed
225,DCP-ZDR-2020-01371,Completed
226,DCP-ZDR-2020-01374,Completed
227,DCP-ZDR-2020-01384,Completed
228,DCP-ZDR-2020-01389,Completed
229,DCP-ZDR-2020-01395,Applicant Revisions
230,DCP-ZDR-2020-01397,Completed
231,DCP-ZDR-2020-01403,Completed
232,DCP-ZDR-2020-01410,Completed
233,DCP-ZDR-2020-01419,Applicant Revisions
234,DCP-ZDR-2020-01424,Completed
235,DCP-ZDR-2020-01430,Completed
236,DCP-ZDR-2020-01441,Application Finalization
237,DCP-ZDR-2020-01446,Cancelled
238,DCP-ZDR-2020-01449,Completed
239,DCP-ZDR-2020-01455,Applicant Revisions
240,DCP-ZDR-2020-01457,Completed
241,DCP-ZDR-2020-01459,Completed
242,DCP-ZDR-2020-01462,Completed
243,DCP-ZDR-2020-01495,Completed
244,DCP-ZDR-2020-01499,Completed
245,DCP-ZDR-2020-01501,Completed
246,DCP-ZDR-2020-01505,Completed
247,DCP-ZDR-2020-01516,Cancelled
248,DCP-ZDR-2020-01528,Completed
249,DCP-ZDR-2020-01535,Cancelled
250,DCP-ZDR-2020-01543,Completed
251,DCP-ZDR-2020-01545,Completed
252,DCP-ZDR-2020-01548,Completed
253,DCP-ZDR-2020-01555,Completed
254,DCP-ZDR-2020-01564,Completed
255,DCP-ZDR-2020-01572,Completed
256,DCP-ZDR-2020-01577,Completed
257,DCP-ZDR-2020-01580,Completed
258,DCP-ZDR-2020-01591,Completed
259,DCP-ZDR-2020-01594,Completed
260,DCP-ZDR-2020-01598,Completed
261,DCP-ZDR-2020-01600,Completed
262,DCP-ZDR-2020-01604,Completed
263,DCP-ZDR-2020-01608,Completed
264,DCP-ZDR-2020-01614,Applicant Revisions
265,DCP-ZDR-2020-01624,Completed
266,DCP-ZDR-2020-01637,Completed
267,DCP-ZDR-2020-01648,Completed
268,DCP-ZDR-2020-01650,Completed
269,DCP-ZDR-2020-01657,Completed
270,DCP-ZDR-2020-01659,Completed
271,DCP-ZDR-2020-01665,Completed
272,DCP-ZDR-2020-01683,Completed
273,DCP-ZDR-2020-01685,Completed
274,DCP-ZDR-2020-01693,Completed
275,DCP-ZDR-2020-01697,Completed
276,DCP-ZDR-2020-01700,Completed
277,DCP-ZDR-2020-01704,Cancelled
278,DCP-ZDR-2020-01711,Completed
279,DCP-ZDR-2020-01720,Completed
280,DCP-ZDR-2020-01730,Completed
281,DCP-ZDR-2020-01741,Completed
282,DCP-ZDR-2020-01748,Completed
283,DCP-ZDR-2020-01752,Completed
284,DCP-ZDR-2020-01772,Completed
285,DCP-ZDR-2020-01774,Completed
286,DCP-ZDR-2020-01777,Completed
287,DCP-ZDR-2020-01779,Completed
288,DCP-ZDR-2020-01785,Completed
289,DCP-ZDR-2020-01793,Completed
290,DCP-ZDR-2020-01797,Completed
291,DCP-ZDR-2020-01800,Completed
292,DCP-ZDR-2020-01806,Applicant Revisions
293,DCP-ZDR-2020-01815,Completed
294,DCP-ZDR-2020-01833,Cancelled
295,DCP-ZDR-2020-01841,Completed
296,DCP-ZDR-2020-01857,Completed
297,DCP-ZDR-2020-01859,Completed
298,DCP-ZDR-2020-01861,Completed
299,DCP-ZDR-2020-01867,Completed
300,DCP-ZDR-2020-01870,Completed
301,DCP-ZDR-2020-01874,Completed
302,DCP-ZDR-2020-01882,Completed
303,DCP-ZDR-2020-01892,Completed
304,DCP-ZDR-2020-01903,Completed
305,DCP-ZDR-2020-01908,Completed
306,DCP-ZDR-2020-01910,Completed
307,DCP-ZDR-2020-01912,Completed
308,DCP-ZDR-2020-01914,Completed
309,DCP-ZDR-2020-01923,Completed
310,DCP-ZDR-2020-01937,Completed
311,DCP-ZDR-2020-01947,Completed
312,DCP-ZDR-2020-01955,Completed
313,DCP-ZDR-2020-01957,Completed
314,DCP-ZDR-2020-01959,Completed
315,DCP-ZDR-2020-01963,Completed
316,DCP-ZDR-2020-01967,Completed
317,DCP-ZDR-2020-01977,Cancelled
318,DCP-ZDR-2020-01980,Cancelled
319,DCP-ZDR-2020-01987,Completed
320,DCP-ZDR-2020-02000,Completed
321,DCP-ZDR-2020-02005,Completed
322,DCP-ZDR-2020-02007,Completed
323,DCP-ZDR-2020-02009,Applicant Revisions
324,DCP-ZDR-2020-02017,Completed
325,DCP-ZDR-2020-02032,Completed
326,DCP-ZDR-2020-02053,Completed
327,DCP-ZDR-2020-02059,Completed
328,DCP-ZDR-2020-02065,Completed
329,DCP-ZDR-2020-02074,Completed
330,DCP-ZDR-2020-02081,Completed
331,DCP-ZDR-2020-02091,Applicant Revisions
332,DCP-ZDR-2020-02093,Completed
333,DCP-ZDR-2020-02105,Completed
334,DCP-ZDR-2020-02109,Completed
335,DCP-ZDR-2020-02123,Completed
336,DCP-ZDR-2020-02127,Completed
337,DCP-ZDR-2020-02134,Cancelled
338,DCP-ZDR-2020-02147,Withdrawn
339,DCP-ZDR-2020-02149,Cancelled
340,DCP-ZDR-2020-02152,Cancelled
341,DCP-ZDR-2020-02156,Cancelled
342,DCP-ZDR-2020-02163,Completed
343,DCP-ZDR-2020-02165,Completed
344,DCP-ZDR-2020-02170,Completed
345,DCP-ZDR-2020-02174,Applicant Revisions
346,DCP-ZDR-2020-02195,Completed
347,DCP-ZDR-2020-02197,Completed
348,DCP-ZDR-2020-02204,Completed
349,DCP-ZDR-2020-02209,Completed
350,DCP-ZDR-2020-02212,Completed
351,DCP-ZDR-2020-02219,Completed
352,DCP-ZDR-2020-02226,Completed
353,DCP-ZDR-2020-02244,Completed
354,DCP-ZDR-2020-02254,Cancelled
355,DCP-ZDR-2020-02257,Completed
356,DCP-ZDR-2020-02259,Completed
357,DCP-ZDR-2020-02261,Cancelled
358,DCP-ZDR-2020-02264,Completed
359,DCP-ZDR-2020-02269,Completed
360,DCP-ZDR-2020-02275,Completed
361,DCP-ZDR-2020-02278,Completed
362,DCP-ZDR-2020-02297,Completed
363,DCP-ZDR-2020-02300,Applicant Revisions
364,DCP-ZDR-2020-02304,Completed
365,DCP-ZDR-2020-02313,Completed
366,DCP-ZDR-2020-02315,Completed
367,DCP-ZDR-2020-02331,Completed
368,DCP-ZDR-2020-02333,Completed
369,DCP-ZDR-2020-02338,Completed
370,DCP-ZDR-2020-02340,Completed
